 EPOCH1D v4.19.5   v4.19.5-7-g19b153ff-clean 1744104200.557            

 Loaded 10000 particles of species "Right"
 Loaded 10000 particles of species "Left"
Wrote full   ,           0000.sdf at time  0.1981E-05 and iteration       0
Wrote full   ,           0001.sdf at time  0.1501E-02 and iteration     379
Wrote full   ,           0002.sdf at time  0.3002E-02 and iteration     758
Wrote full   ,           0003.sdf at time  0.4504E-02 and iteration    1137
Wrote full   ,           0004.sdf at time  0.6001E-02 and iteration    1515
Wrote full   ,           0005.sdf at time  0.7502E-02 and iteration    1894
Wrote full   ,           0006.sdf at time  0.9004E-02 and iteration    2273
Wrote full   ,           0007.sdf at time  0.1050E-01 and iteration    2651
Wrote full   ,           0008.sdf at time  0.1200E-01 and iteration    3030
Wrote full   ,           0009.sdf at time  0.1350E-01 and iteration    3409
Wrote full   ,           0010.sdf at time  0.1500E-01 and iteration    3787
Wrote full   ,           0011.sdf at time  0.1650E-01 and iteration    4166
Wrote full   ,           0012.sdf at time  0.1800E-01 and iteration    4545
Wrote full   ,           0013.sdf at time  0.1950E-01 and iteration    4923
Wrote full   ,           0014.sdf at time  0.2100E-01 and iteration    5302
Wrote full   ,           0015.sdf at time  0.2250E-01 and iteration    5681
Wrote full   ,           0016.sdf at time  0.2400E-01 and iteration    6059
Wrote full   ,           0017.sdf at time  0.2550E-01 and iteration    6438
Wrote full   ,           0018.sdf at time  0.2700E-01 and iteration    6817
Wrote full   ,           0019.sdf at time  0.2850E-01 and iteration    7196
Wrote full   ,           0020.sdf at time  0.3000E-01 and iteration    7574
Wrote full   ,           0021.sdf at time  0.3150E-01 and iteration    7953
Wrote full   ,           0022.sdf at time  0.3300E-01 and iteration    8332
Wrote full   ,           0023.sdf at time  0.3450E-01 and iteration    8710
Wrote full   ,           0024.sdf at time  0.3600E-01 and iteration    9089
Wrote full   ,           0025.sdf at time  0.3750E-01 and iteration    9468
Wrote full   ,           0026.sdf at time  0.3900E-01 and iteration    9846
Wrote full   ,           0027.sdf at time  0.4050E-01 and iteration   10225
Wrote full   ,           0028.sdf at time  0.4200E-01 and iteration   10604
Wrote full   ,           0029.sdf at time  0.4350E-01 and iteration   10982
Wrote full   ,           0030.sdf at time  0.4500E-01 and iteration   11361
Wrote full   ,           0031.sdf at time  0.4650E-01 and iteration   11740
Wrote full   ,           0032.sdf at time  0.4800E-01 and iteration   12118
Wrote full   ,           0033.sdf at time  0.4950E-01 and iteration   12497
Wrote full   ,           0034.sdf at time  0.5100E-01 and iteration   12876
Wrote full   ,           0035.sdf at time  0.5250E-01 and iteration   13254
Wrote full   ,           0036.sdf at time  0.5400E-01 and iteration   13633
Wrote full   ,           0037.sdf at time  0.5550E-01 and iteration   14012
Wrote full   ,           0038.sdf at time  0.5700E-01 and iteration   14391
Wrote full   ,           0039.sdf at time  0.5850E-01 and iteration   14769
Wrote full   ,           0040.sdf at time  0.6000E-01 and iteration   15148
Wrote full   ,           0041.sdf at time  0.6150E-01 and iteration   15527
Wrote full   ,           0042.sdf at time  0.6300E-01 and iteration   15905
Wrote full   ,           0043.sdf at time  0.6450E-01 and iteration   16284
Wrote full   ,           0044.sdf at time  0.6600E-01 and iteration   16663
